basDt,srtnCd,fndNm,ctg,setpDt,fndTp,prdClsfCd,asoStdCd
20260511,AH290,한국밸류10년투자증권투자신탁1호(채권혼합)(C-P),자산운용,20130402,혼합채권형,14111A12036012211ZZ4,KR5236AH2906
20260511,DE769,삼성 글로벌 EMP 적격TDF 2040 증권자투자신탁[주식혼합-재간접형]_Ce,자산운용,20230411,재간접,161236120010211ZZZZC,K55105DE7695
20260511,C6438,브레인코스닥벤처증권투자신탁(주식혼합) 종류 CW,자산운용,20230411,혼합주식형,13111B12301011131ZZ1,K55454C64380
20260511,DN571,웰컴공모주하이일드증권투자신탁제3호[채권혼합]C-P1,자산운용,20211224,혼합채권형,14111A123360126ZZZZ6,K55244DN5716
20260511,DX666,KB 법인용 달러 MMF 1호(USD) C-F,자산운용,20230725,단기금융,1EE217120010282ZZZZ6,K55223DX6667
20260511,DX076,삼성 글로벌 EMP 적격TDF 2040 증권자투자신탁[주식혼합-재간접형]_O(디폴트옵션),자산운용,20221212,재간접,16123H120600211ZZZZC,K55105DX0762
20260511,DX069,삼성 글로벌 EMP 적격TDF 2045 증권자투자신탁[주식혼합-재간접형]_O(디폴트옵션),자산운용,20221212,재간접,16123H120600211ZZZZC,K55105DX0697
20260511,E1541,NH-Amundi UBP 글로벌리더스30 증권자투자신탁(H)[주식-재간접형] Class C-P2e(퇴직연금),자산운용,20230622,재간접,1612361206002111121C,K55232E15412
20260511,26588,미래에셋장기성장포커스증권자투자신탁3호(주식)종류A,자산운용,20100507,주식형,12113212001011111111,KR5301265884
20260511,26613,미래에셋장기성장포커스증권자투자신탁3호(주식)종류A-e,자산운용,20100507,주식형,12113612001011111111,KR5301266130
20260511,26587,미래에셋장기성장포커스증권자투자신탁3호(주식),자산운용,20100507,주식형,12113112001011111111,KR5301265876
20260511,26589,미래에셋장기성장포커스증권자투자신탁3호(주식)종류C,자산운용,20100507,주식형,12113412001011111111,KR5301265892
20260511,E1496,NH-Amundi UBP 글로벌리더스30 증권자투자신탁(H)[주식-재간접형],자산운용,20230420,재간접,1612311200102111121C,K55232E14969
